ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type
0,282,0,8.79225172438769E-05,"I was very disappointed in this movie. Plotwise it was weak bordering on silly: Souls who can affect reality in the way they do? A mission apparently critical to the Soul Hunters entrusted to one of their younger members? And the whole B-story with the ""holobrothel"" and the lawsuit against the station was so awful that at one point I blurted out to the television, ""Why are you wasting my time with this?""<br /><br />Thematically, ""River of Souls"" didn't really go into the question of the soul in any more depth than the original episode ""Soul Hunter"" did. We see that Soul Hunters can make mistakes, but we still don't get a feeling for their culture. (Are there any female Soul Hunters?)<br /><br />The acting was okay, given the material they had to work with, and the special effects - especially the planetscapes in the first act - were very impressive. But overall, I'd say give this one a miss.",1,0.518645861002909,"I was very disappoint in this cinema. Plotwise it was insecure bordering on silly: Souls who can affect reality in the way they do? A mission apparently critical to the Soul Hunters entrusted to one of their younger members? And the whole B-story with the ""holobrothel"" and the lawsuit against the station was so scary that at one point I blurted out to the television, ""Why are you wasting my time with this?""<br /><br />Thematically, ""River of Souls"" didn't really go into the question of the soul in any more depth than the original episode ""Soul Hunter"" did. We see that Soul Hunters can make mistakes, but we still don't get a feeling for their culture. (Are there any female Soul Hunters?)<br /><br />The behaving was okay, given the material they had to work with, and the special effects - especially the planetscapes in the first act - were very impressive. But overall, I'd say give this one a miss.",Successful
1,309,1,0.00086195512588,"Very few movies have had the impact on American culture the way Urban Cowboy has. Thank god it was temporary. But UC is almost in a class by itself as one of those flicks that when you're flipping channels at 3:00AM you just can't take your eyes off....my top three are Animal House and Walking Tall BTW but that's beside the point. I remember Urban Cowboy hit the theaters and overnite there were honkytonks being opened on every corner, men were sporting cowboy hats with their penny loafers, and if you didnt know how to two-step you were considered a social moron! Personally I think it's a great movie. Travolta really surprised me on the heels of SatNiteFever. Who'd a thunk. He's actually believable too. The soundtrack is awesome. Too bad Charlene Tilton, of TV's Dallas fame ruined Johnny Lee's career cause that guy was just terrific. The show stealer here is Scott Glenn as the greaser ex-con redneck cowboy. And I ain't got nothing against greaser ex-con cowboys semi-being one myself, but I've always envied what I feel to be the greatest power line of all time....""Pack-at S*#t!"" Sort of like Clint's ""make my day."" And watching him slap Sissy around is the closest thing I'll see to my Julia Roberts fantasy so..... Like I said, beautiful. 9/10",0,0.540445704590691,"Very few movies have had the impact on American culture the way Urban Cowboy has. Thank god it was temporary. But UC is almost in a class by itself as one of those flicks that when you're flipping channels at 3:00AM you just can't take your eyes off....my top three are Animal House and Walking Tall BTW but that's beside the point. I remember Urban Cowboy hit the theaters and overnite there were honkytonks being opened on every corner, men were sporting cowboy hats with their penny loafers, and if you didnt know how to two-step you were considered a social moron! Personally I think it's a huge movie. Travolta really surprised me on the heels of SatNiteFever. Who'd a thunk. He's actually believable too. The soundtrack is awesome. Too bad Charlene Tilton, of TV's Dallas fame ruined Johnny Lee's career cause that guy was just terrific. The show stealer here is Scott Glenn as the greaser ex-con redneck cowboy. And I ain't got nothing against greaser ex-con cowboys semi-being one myself, but I've always envied what I feel to be the worst power line of all time....""Pack-at S*#t!"" Sort of like Clint's ""make my day."" And watching him slap Sissy around is the closest thing I'll see to my Julia Roberts fantasy so..... Like I said, beautiful. 9/10",Successful
1,1,0,0.93642768676712,"Okay. Yes, this was a very-tight-budget movie with continuity errors (like single scenes obviously filmed in sunshine and then in shadow and then mixed together), and as much as I love Nick Mancuso he was often a little too good at the burnt-out part, and some of the minor supporting cast was really bad (plus at least one actor was used for two different but conspicuous roles). But come on. Richard Grieco was hysterical (his hair alone is worth the trip). Steven Ford was very likable. Mancuso had some great lines, while Nancy Allen, ironically, was completely bland and uninteresting. Classic? No. Bad parts? Yes. Entertaining? Big yes. I would have loved to have been on-set the day they decided what kind of hairstyle Grieco would have. ""Are you fast?"" ... ""Y'ain't THAT fast.""",0,0.93642768676712,"Okay. Yes, this was a very-tight-budget movie with continuity errors (like single scenes obviously filmed in sunshine and then in shadow and then mixed together), and as much as I love Nick Mancuso he was often a little too good at the burnt-out part, and some of the minor supporting cast was really bad (plus at least one actor was used for two different but conspicuous roles). But come on. Richard Grieco was hysterical (his hair alone is worth the trip). Steven Ford was very likable. Mancuso had some great lines, while Nancy Allen, ironically, was completely bland and uninteresting. Classic? No. Bad parts? Yes. Entertaining? Big yes. I would have loved to have been on-set the day they decided what kind of hairstyle Grieco would have. ""Are you fast?"" ... ""Y'ain't THAT fast.""",Skipped
1,1,0,0.747907767002364,"Although the word megalmania is used a lot to describe Gene Kelly, and sometimes his dancing is way too stiff, you have to admit the guy knows how to put on a show. In American In Paris, he choreographs some outstanding numbers, some which stall the plot, but are nonetheless amazing to look at. (Check out Gene Kelly's ""Getting Out Of Bed Routine"" for starters)<br /><br />Gene Kelly stars as a GI who is based out of Paris, he stayed there to paint, soon he is a rich woman's gigolo, but he really LOVES SOMEONE ELSE! Hoary story sure, but the musical numbers save the show here! I really loved Georges Gu¨¦tary's voice work in this one. His 'Stairway to Paradise' and his duet with Le Gene on 'S Wonderful' is 's marvelous'. Oscar Levant and Leslie Caron I can take or leave. All in all, a pretty good, but not dynamite movie.",0,0.747907767002364,"Although the word megalmania is used a lot to describe Gene Kelly, and sometimes his dancing is way too stiff, you have to admit the guy knows how to put on a show. In American In Paris, he choreographs some outstanding numbers, some which stall the plot, but are nonetheless amazing to look at. (Check out Gene Kelly's ""Getting Out Of Bed Routine"" for starters)<br /><br />Gene Kelly stars as a GI who is based out of Paris, he stayed there to paint, soon he is a rich woman's gigolo, but he really LOVES SOMEONE ELSE! Hoary story sure, but the musical numbers save the show here! I really loved Georges Gu¨¦tary's voice work in this one. His 'Stairway to Paradise' and his duet with Le Gene on 'S Wonderful' is 's marvelous'. Oscar Levant and Leslie Caron I can take or leave. All in all, a pretty good, but not dynamite movie.",Skipped
1,600,1,6.19374452033305E-05,"James J. Corbett, heavyweight champion of the world from 1892 to 1897, turned out to be Errol Flynn's favorite role. Possibly because he didn't have to wield a sword or be in a western. He grew tired of the swashbucklers and he said in his autobiography that he felt he was miscast in westerns and couldn't understand why people liked him in them. It is an enjoyable film, but hardly does tell the real story of James J. Corbett.<br /><br />As portrayed Corbett was the first scientific boxer to win in the heavyweight division, a man who used brains and speed more than brute strength to win. He defeated John L. Sullivan and lost to Bob Fitzsimmons the heavyweight crown. He was also a compulsive womanizer and in that was a lot like the man portraying him. Of course that was not shown on the screen. The character that Alexis Smith plays, the banker's daughter who falls for him, has no basis in reality. Corbett was in fact married twice and was flagrantly unfaithful with both of his wives.<br /><br />Also though after he lost his title and after the events of this film are concluded he suffered a great personal tragedy. His father in a moment of depression, probably over finances because he lost heavily betting on his son to beat Bob Fitzsimmons, shot his mother and then turned the gun on himself. The murder/suicide hardly squares with the happy clan that Alan Hale presided over.<br /><br />One thing though that I did like about Gentleman Jim. Ward Bond got the career role of his life in playing John L. Sullivan. Director Raoul Walsh got a great performance out of Bond as the blustering, but lovable Sullivan. Even given some of Sullivan's bad points that don't make it to the screen like rabid racism, Bond's portrayal is the quintessential John L. and the best thing about Gentleman Jim.<br /><br />Speaking of racism, one thing that should have been told was the fact that Sullivan while champion refused on grounds of race to meet Peter Jackson who was black and from Australia and probably the best heavyweight of his time. I say probably because as a challenger Corbett met him and fought him for 61 rounds to a draw. That fight more than any other created a demand for a Sullivan-Corbett title match. Of course when Corbett was champion he refused to give Jackson a title shot. Maybe he didn't want another 61 round marathon with someone who may have been better on that particular day.<br /><br />Gentleman Jim is not Jim Corbett's story, it is a movie of Errol Flynn playing at being James J. Corbett. But Corbett had he been alive in 1942 no doubt would have loved the movie and loved Flynn's portrayal of his life. It's as he would have liked to have been remembered.",0,0.722954673553474,"James J. Corbett, heavyweight champion of the world from 1892 to 1897, turned out to be Errol Flynn's choose role. Possibly because he didn't have to wield a sword or be in a western. He grew tired of the swashbucklers and he said in his autobiography that he felt he was miscast in westerns and couldn't understand why people likes him in them. It is an enjoyable film, but hardly does tell the real story of James J. Corbett.<br /><br />As portrayed Corbett was the first scientific boxer to win in the heavyweight division, a man who used brains and speed more than brute strength to win. He defeated John L. Sullivan and lost to Bob Fitzsimmons the heavyweight crown. He was also a compulsive womanizer and in that was a lot like the man portraying him. Of course that was not shown on the screen. The character that Alexis Smith plays, the banker's daughter who falls for him, has no basis in reality. Corbett was in fact married twice and was flagrantly unfaithful with both of his wives.<br /><br />Also though after he lost his title and after the events of this film are concluded he suffered a great personal tragedy. His father in a moment of depression, probably over finances because he lost heavily betting on his son to beat Bob Fitzsimmons, shot his mother and then turned the gun on himself. The murder/suicide hardly squares with the happy clan that Alan Hale presided over.<br /><br />One thing though that I did like about Gentleman Jim. Ward Bond got the career role of his life in playing John L. Sullivan. Director Raoul Walsh got a great performance out of Bond as the blustering, but lovable Sullivan. Even given some of Sullivan's bad points that don't make it to the screen like rabid racism, Bond's portrayal is the quintessential John L. and the best thing about Gentleman Jim.<br /><br />Speaking of racism, one thing that should have been told was the fact that Sullivan while champion refused on grounds of race to meet Peter Jackson who was black and from Australia and probably the best heavyweight of his time. I say probably because as a challenger Corbett met him and fought him for 61 rounds to a draw. That fight more than any other created a demand for a Sullivan-Corbett title match. Of course when Corbett was champion he refused to give Jackson a title shot. Maybe he didn't want another 61 round marathon with someone who may have been better on that particular day.<br /><br />Gentleman Jim is not Jim Corbett's story, it is a movie of Errol Flynn playing at being James J. Corbett. But Corbett had he been alive in 1942 no doubt would have dear the movie and loved Flynn's portrayal of his life. It's as he would have wanting to have been remembered.",Successful
0,287,0,2.7140424144978E-05,"Well then, what is it?! I found Nicholson's character shallow and most unfortunately uninteresting. Angelica Huston's character drained my power. And Kathleen Turner is a filthy no good slut. It's not that I ""don't get it"". It's not that I don't think that some of the ideas could've lead to something more. This is a film with nothing but the notion that we're supposed to accept these ideas, and that's what the movie has going for it. That Nicholson falls for Turner is absurd, but then again, it is intended to be so. This however does not strike me as a.)funny, or b.)...even remotely interesting!!! This was a waste of my time, so don't let the hype get the best of you...it is a waste of your time! With all that being said, the opening church sequence is quite beautiful...",1,0.619897219546599,"Well then, what is it?! I found Nicholson's character shallow and most miserably uninteresting. Angelica Huston's character drained my power. And Kathleen Turner is a filthy no good slut. It's not that I ""don't get it"". It's not that I don't think that some of the ideas could've lead to something more. This is a film with nothing but the notion that we're supposed to accept these ideas, and that's what the movie has going for it. That Nicholson falls for Turner is mindless, but then again, it is intended to be so. This however does not strike me as a.)funny, or b.)...even remotely interesting!!! This was a wastes of my timing, so don't give the hype get the best of you...it is a wasting of your timing! With all that being said, the opening church sequence is quite beautiful...",Successful
0,392,0,0.001843631148854,"Although there's Flying Guillotines as part of the title of this movie, it has no connections to the original Flying Guillotines (1975) and its sequel Flying Guillotines II (1978). The two originals are masterpieces of kung-fu movie and still stands out as a classic. This is a much inferior copy of the original, and even as a regular kung-fu movie, it's below average.<br /><br />First of all, this movie doesn't have much acting. It's one senseless fight scene after another, and flying guillotine doesn't even play a major part in them. Story is about some Shaolin monks who are tracking down some villains who've took off with a sacred book, and an evil prince who owns part of this book is part of the plot. The same evil prince has plans to lure the monks in and use the flying guillotines on them.<br /><br />There are four movies with Flying Guillotine as part of its title. This in my opinion is of least quality. The design of the flying guillotine in this movie is different from the other three indicating that this movie was produced by a different entity from the other three.<br /><br />The movie has no chemistry asides from being unintentionally funny due to poor production. <br /><br />Best skip this and watch the two originals.",1,0.503120872734488,"Although there's Flying Guillotines as part of the title of this movie, it has no connections to the original Rob Guillotines (1975) and its sequel Flying Guillotines II (1978). The two originals are masterpieces of kung-fu movie and still stands out as a classic. This is a much inferior copy of the original, and even as a regular kung-fu movie, it's below average.<br /><br />First of all, this movie doesn't have much acting. It's one senseless fight scene after another, and flying guillotine doesn't even play a major part in them. Story is about some Shaolin monks who are tracking down some villains who've took off with a sacred book, and an evil prince who owns part of this book is part of the plot. The same evil prince has plans to lure the monks in and use the flying guillotines on them.<br /><br />There are four movies with Flight Guillotine as part of its title. This in my opinion is of least quality. The design of the flying guillotine in this movie is different from the other three indicating that this movie was created by a different entity from the other three.<br /><br />The movie has no chemistry asides from being unintentionally funny due to wrong production. <br /><br />Best skip this and watch the two originals.",Successful
0,252,0,8.98475921351505E-05,"Sure, we all like bad movies at one time or another, and we in fact enjoy them, This however, wasn't even a guilty pleasure, it was just crap. Some guy, vince offer, who is conceited enough to make himself the main character while probably got drunk/high--probably both--and thought it was a great idea to make a movie. He then proceeded to show his script to equally high/drunk individuals. Overall, this movie was so bad, predictable, and unoriginal I couldn't get through 20 minutes of it before I turned it off. It makes You Got Served look like Citizen Kane. Bat Man? WTF...Some guy that walks around with a bat, real original. Almost as good as calling him Fat Man, and having a fat guy walk around in a superhero outfit.",1,0.649555993758682,"Sure, we all like wrong movies at one time or another, and we in fact enjoy them, This however, wasn't even a guilty pleasure, it was just hell. Some guy, vince offer, who is conceited enough to make himself the main character while probably got drunk/high--probably both--and thought it was a great idea to make a movie. He then proceeded to show his script to equally high/drunk individuals. Overall, this movie was so dirty, prophesied, and unoriginal I couldn't get through 20 moments of it before I turned it off. It makes You Got Served blankly like Citizen Kane. Bat Man? WTF...Some guy that walks around with a bat, real original. Almost as good as calling him Fat Man, and having a fat guy walk around in a superhero outfit.",Successful
1,364,1,0.000452979816507,"There are some wonderful things about this movie. Marion Davies could act, given the right property; she is wonderful in comedic roles. William Haines could act, and you can see why he was one of the screen's most popular leading men. (Until a potential scandal forced him from the business).<br /><br />The story is a bit trite, but handled so beautifully that you don't notice. King Vidor's direction is one of the principle reasons for this. The producer? The boy genius, Irving Thalberg.<br /><br />It's about movie making, and you get to see the process as it was done in 1928, the cameras, sets, directors directing and actors emoting. You get to see (briefly) some of the major stars of the day; even Charlie Chaplin does a turn as himself, seeking an autograph. You also catch glimpses of Eleanor Boardman, Elinor Glyn, Claire Windsor, King Vidor, and many others who are otherwise just names and old photographs.<br /><br />Please, even if you're not a fan of the silents, take the time to catch this film when you can. It's really a terrific trip back in time.",0,0.574422663462997,"There are some astounding things about this movie. Marion Parker could act, given the ok property; she is unbelievable in comedic roles. William Haines could act, and you can see why he was one of the screen's most popular leading men. (Until a potential scandal forced him from the business).<br /><br />The story is a bit trite, but handled so beautifully that you don't notice. King Vidor's direction is one of the principle reasons for this. The producer? The boy genius, Irving Thalberg.<br /><br />It's about movie making, and you get to see the process as it was done in 1928, the cameras, sets, directors directing and actors emoting. You get to see (briefly) some of the major stars of the day; even Charlie Chaplin does a turn as himself, seeking an autograph. You also catch glimpses of Eleanor Boardman, Elinor Glyn, Claire Windsor, King Vidor, and many others who are otherwise just names and old photographs.<br /><br />Please, even if you're not a fan of the silents, take the time to caught this film when you can. It's really a terrific trip back in time.",Successful
1,1,0,0.995246347880678,"Apparently Ruggero Deodato figured out, early on, that his story wouldn't work if he approached it too seriously, so he decided to camp it up. The result is a film that can be viewed as either a ludicrous sword-and-sorcery epic or as a very entertaining comedy! And I think I'll go the second way. The brief gore moments are well-done, the Paul Brothers openly mock the material (they even bark at each other in one scene!), and there is also a charming, spirited, good-natured performance by Eva La Rue, as the girl who tags along with the ""boys"". Plus, where else can you see the insides of a dragon lighted like a discotheque?? (***)",0,0.995246347880678,"Apparently Ruggero Deodato figured out, early on, that his story wouldn't work if he approached it too seriously, so he decided to camp it up. The result is a film that can be viewed as either a ludicrous sword-and-sorcery epic or as a very entertaining comedy! And I think I'll go the second way. The brief gore moments are well-done, the Paul Brothers openly mock the material (they even bark at each other in one scene!), and there is also a charming, spirited, good-natured performance by Eva La Rue, as the girl who tags along with the ""boys"". Plus, where else can you see the insides of a dragon lighted like a discotheque?? (***)",Skipped
